Resistors:  (1, 2, 4, 8)
 12.1 Ohm with 0.02% error  12.1026 using   (8+1)|4  +  (80+40+20)|10      2.7692 +  9.3333
 12.2 Ohm with 0.02% error  12.2028 using    8|(4+2)|1  +  (80|40|20)      0.7742 + 11.4286
 12.3 Ohm with 0.04% error  12.3048 using    8|(4+2+1)  +  (40+20)|10      3.7333 +  8.5714
 12.4 Ohm with 0.00% error  12.4000 using       (8|2)+(4|1)  +  10         2.4000 + 10.0000
 12.5 Ohm with 0.01% error  12.5018 using    (8|1)  +  (80+10)|40|20       0.8889 + 11.6129
 12.6 Ohm with 0.00% error  12.6000 using         (8|2)+1  +  10           2.6000 + 10.0000
 12.7 Ohm with 0.11% error  12.7143 using      4+2+1  +  (40|20|10)        7.0000 +  5.7143
 12.8 Ohm with 0.00% error  12.8000 using         (4|1)+2  +  10           2.8000 + 10.0000
 12.9 Ohm with 0.12% error  12.9158 using  (8|2)+4+1  +  (80+40)|20|10     6.6000 +  6.3158
 13.0 Ohm with 0.00% error  13.0000 using             8+4+1                  13.0000   
 13.1 Ohm with 0.16% error  13.1212 using      1  +  80|(40+10)|20         1.0000 + 12.1212
 13.2 Ohm with 0.00% error  13.2000 using      8+4+2+1  |  80+20+10       15.0000 | 110.0000
 13.3 Ohm with 0.12% error  13.3158 using    4+2+1  +  (80+40)|20|10       7.0000 +  6.3158
 13.4 Ohm with 0.06% error  13.4074 using     4+2  +  (80+20)|40|10        6.0000 +  7.4074
 13.5 Ohm with 0.03% error  13.5043 using     (8|2|1)+4  +  (80|10)        4.6154 +  8.8889
 13.6 Ohm with 0.00% error  13.6000 using       (8+1)|(4+2)  +  10         3.6000 + 10.0000
 13.7 Ohm with 0.05% error  13.7063 using    (8|2|1)+4  +  (80+20)|10      4.6154 +  9.0909
 13.8 Ohm with 0.21% error  13.8286 using   (8|2)+(4|1)  +  (80|40|20)     2.4000 + 11.4286
 13.9 Ohm with 0.03% error  13.9048 using      (4|2|1)  +  (40|20)         0.5714 + 13.3333
 14.0 Ohm with 0.00% error  14.0000 using             8+4+2                  14.0000   
 14.1 Ohm with 0.05% error  14.1075 using     8|(4+2)|1  +  (40|20)        0.7742 + 13.3333
 14.2 Ohm with 0.09% error  14.2129 using   (8|2)+1  +  (80+10)|40|20      2.6000 + 11.6129
 14.3 Ohm with 0.02% error  14.3030 using   8|(2+1)  +  80|(40+10)|20      2.1818 + 12.1212
 14.4 Ohm with 0.05% error  14.4074 using    4+2+1  +  (80+20)|40|10       7.0000 +  7.4074
 14.5 Ohm with 0.01% error  14.5018 using   (8|1)+2  +  (80+10)|40|20      2.8889 + 11.6129
